capitulo,subcapitulo,tipo,periodo,assunto,dia-extracao,caminho,nome-arquivo,link,embed,github-csv
Educação,Ensino,Mapa,01/01/2022 a 30/06/2022,Enem,22/07/2022,educacao/ensino/,enem_mapa.csv,https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F047v0j1,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""/m/047v0j1"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F047v0j1"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/educacao/ensino/enem_mapa.csv
Educação,Ensino,Gráfico,2004 a 30/06/2022,ProUni x Fies,22/07/2022,educacao/ensino/,prouni-fies_grafico.csv,"https://trends.google.com/trends/explore?date=2004-01-01%202022-06-30&geo=BR&q=%2Fg%2F122p7y8w,%2Fg%2F121v2h1b","<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", {""comparisonItem"":[{""keyword"":""/g/122p7y8w"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""},{""keyword"":""/g/121v2h1b"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2004-01-01%202022-06-30&geo=BR&q=%2Fg%2F122p7y8w,%2Fg%2F121v2h1b"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/educacao/ensino/prouni-fies_grafico.csv
Educação,Cursos,-,-,-,-,-,-,-,-,-
Educação,Lazer,Gráfico,01/01/2022 a 30/06/2022,Flamengo x Palmeiras x Corinthias x São Paulo,22/07/2022,educacao/lazer/,clubes-futebol_grafico.csv,"https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F019lty,%2Fm%2F019lwb,%2Fm%2F019lvv,%2Fm%2F019m42","<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", {""comparisonItem"":[{""keyword"":""/m/019lty"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""},{""keyword"":""/m/019lwb"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""},{""keyword"":""/m/019lvv"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""},{""keyword"":""/m/019m42"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F019lty,%2Fm%2F019lwb,%2Fm%2F019lvv,%2Fm%2F019m42"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/educacao/lazer/clubes-futebol_grafico.csv
Educação,Lazer,Mapa,01/01/2022 a 30/06/2022,Viagem,22/07/2022,educacao/lazer/,viagem_mapa.csv,https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F014dsx,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""/m/014dsx"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F014dsx"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/educacao/lazer/viagem_mapa.csv
Educação,Religião,Mapa,01/01/2022 a 30/06/2022,Deus,22/07/2022,educacao/religiao/,deus_mapa.csv,https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F0d05l6,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""/m/0d05l6"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F0d05l6"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/educacao/religiao/deus_mapa.csv
Educação,Religião,Gráfico,2004 a 30/06/2022,Deus,22/07/2022,educacao/religiao/,deus_grafico.csv,https://trends.google.com/trends/explore?date=2004-01-01%202022-06-30&geo=BR&q=%2Fm%2F0d05l6,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", {""comparisonItem"":[{""keyword"":""/m/0d05l6"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2004-01-01%202022-06-30&geo=BR&q=%2Fm%2F0d05l6"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/educacao/religiao/deus_grafico.csv
Segurança,Criminalidade,Gráfico,2004 a 30/06/2022,como proteger o celular,22/07/2022,seguranca/criminalidade/,como-proteger-o-celular_grafico.csv,https://trends.google.com.br/trends/explore?date=2004-01-01%202022-06-30&geo=BR&q=como%20proteger%20o%20celular,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", {""comparisonItem"":[{""keyword"":""como proteger o celular"",""geo"":""BR"",""time"":""2004-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2004-01-01%202022-06-30&geo=BR&q=como%20proteger%20o%20celular"",""guestPath"":""https://trends.google.com.br:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/seguranca/criminalidade/como-proteger-o-celular_grafico.csv
Segurança,Criminalidade,Mapa,01/01/2022 a 30/06/2022,Violência doméstica,22/07/2022,seguranca/criminalidade/,violencia-domestica_mapa.csv,https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F02gr_,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""GEO_MAP"", {""comparisonItem"":[{""keyword"":""/m/02gr_"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F02gr_"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/seguranca/criminalidade/violencia-domestica_mapa.csv
Segurança,Crimes virtuais,Gráfico,01/01/2022 a 30/06/2022,WhatsApp x Google x YouTube x Facebook x Instagram,22/07/2022,seguranca/crimes-virtuais/,redes-sociais_grafico.csv,"https://trends.google.com/trends/explore?date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F0gwzvs1,google,%2Fm%2F09jcvs,%2Fm%2F02y1vz,instagram","<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/3029_RC01/embed_loader.js""></script> <script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", {""comparisonItem"":[{""keyword"":""/m/0gwzvs1"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""},{""keyword"":""google"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""},{""keyword"":""/m/09jcvs"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""},{""keyword"":""/m/02y1vz"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""},{""keyword"":""instagram"",""geo"":""BR"",""time"":""2022-01-01 2022-06-30""}],""category"":0,""property"":""""}, {""exploreQuery"":""date=2022-01-01%202022-06-30&geo=BR&q=%2Fm%2F0gwzvs1,google,%2Fm%2F09jcvs,%2Fm%2F02y1vz,instagram"",""guestPath"":""https://trends.google.com:443/trends/embed/""}); </script>",https://github.com/GoogleTrends/elections-in-search/blob/main/data/seguranca/crimes-virtuais/redes-sociais_grafico.csv
